scope,task,dataset_index,layer_idx,tensor_axis,policy,k_bits,v_bits,model,git_commit,seed,prompt_input_tokens,actual_generated_token_count,requested_decode_steps,sampled_decode_steps,valid_step_count,no_decode_exposure,sample_attention_distortion,per_step_distortions
primary,trec,153,0,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,4325,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.0773748413927281,"[{""decode_step"": 1, ""distortion"": 0.0709514220392866}, {""decode_step"": 2, ""distortion"": 0.07599402607220679}, {""decode_step"": 4, ""distortion"": 0.09309073764680022}, {""decode_step"": 8, ""distortion"": 0.07374734240280399}, {""decode_step"": 16, ""distortion"": 0.07309067880254287}]"
primary,trec,154,0,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,6881,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.07562520341271821,"[{""decode_step"": 1, ""distortion"": 0.06932912113727707}, {""decode_step"": 2, ""distortion"": 0.06877559559104289}, {""decode_step"": 4, ""distortion"": 0.07231051240487235}, {""decode_step"": 8, ""distortion"": 0.07671369959050199}, {""decode_step"": 16, ""distortion"": 0.09099708833989675}]"
primary,trec,82,0,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,8914,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.07374139739781821,"[{""decode_step"": 1, ""distortion"": 0.06900988757063835}, {""decode_step"": 2, ""distortion"": 0.08955113963662446}, {""decode_step"": 4, ""distortion"": 0.07053075548161791}, {""decode_step"": 8, ""distortion"": 0.06971953913778978}, {""decode_step"": 16, ""distortion"": 0.06989566516242053}]"
primary,trec,151,0,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,11115,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.06796965274179856,"[{""decode_step"": 1, ""distortion"": 0.066057311347192}, {""decode_step"": 2, ""distortion"": 0.0657087290025336}, {""decode_step"": 4, ""distortion"": 0.06896103138126315}, {""decode_step"": 8, ""distortion"": 0.07268197241036663}, {""decode_step"": 16, ""distortion"": 0.06643921956763743}]"
primary,lcc,122,0,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,3489,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.07605133610624869,"[{""decode_step"": 1, ""distortion"": 0.07443465193076404}, {""decode_step"": 2, ""distortion"": 0.0744091844522986}, {""decode_step"": 4, ""distortion"": 0.075024186335046}, {""decode_step"": 8, ""distortion"": 0.07342491814927853}, {""decode_step"": 16, ""distortion"": 0.0829637396638563}]"
primary,lcc,174,0,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,2600,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.08045995897208227,"[{""decode_step"": 1, ""distortion"": 0.07669242873644296}, {""decode_step"": 2, ""distortion"": 0.0774267954249013}, {""decode_step"": 4, ""distortion"": 0.07937148170874352}, {""decode_step"": 8, ""distortion"": 0.07663101636863984}, {""decode_step"": 16, ""distortion"": 0.09217807262168379}]"
primary,lcc,214,0,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,5140,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.07147255016368301,"[{""decode_step"": 1, ""distortion"": 0.06739311746371443}, {""decode_step"": 2, ""distortion"": 0.08250655408254304}, {""decode_step"": 4, ""distortion"": 0.06985858121332889}, {""decode_step"": 8, ""distortion"": 0.06774926418084484}, {""decode_step"": 16, ""distortion"": 0.06985523387798387}]"
primary,lcc,357,0,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,3996,15,"[1, 2, 4, 8, 16]","[1, 2, 4, 8]",4,False,0.07470090579893465,"[{""decode_step"": 1, ""distortion"": 0.072202451091539}, {""decode_step"": 2, ""distortion"": 0.07141985955630467}, {""decode_step"": 4, ""distortion"": 0.07484258045534165}, {""decode_step"": 8, ""distortion"": 0.08033873209255328}]"
primary,passage_retrieval_en,141,0,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,13442,5,"[1, 2, 4, 8, 16]","[1, 2, 4]",3,False,0.06644082420900034,"[{""decode_step"": 1, ""distortion"": 0.06664640754448037}, {""decode_step"": 2, ""distortion"": 0.06414960685133998}, {""decode_step"": 4, ""distortion"": 0.06852645823118066}]"
primary,passage_retrieval_en,185,0,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,13611,6,"[1, 2, 4, 8, 16]","[1, 2, 4]",3,False,0.06647230390421639,"[{""decode_step"": 1, ""distortion"": 0.06642405920149}, {""decode_step"": 2, ""distortion"": 0.06406995756868071}, {""decode_step"": 4, ""distortion"": 0.0689228949424785}]"
